CMPD_CHEMBLID,MOLWEIGHT,mol,VALUE,ty,label,,
CHEMBL2323222,579.63,Fc1c(C(=O)N2CCC(C(=O)N3C4c5c(C(=O)NC4)cccc5CC3)CC2)cc(CC2=NNC(=O)c3c2cccc3)cc1,1.9,IC50,1,,
CHEMBL3916058,445.51999,O=C(CCC(O)=Nc1cc(Cc2nnc(O)c3c2CCCC3)ccc1)c1ccc(OC)cc1,1.9,KI,1,,
CHEMBL3891180,504.56,Fc1c(C(=O)N2CCN(C(=O)COc3ccccc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.9,KI,1,,
CHEMBL3943016,452.53,Fc1c(C(=O)N2CCN(C(=O)C3CC3)CCC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.9,KI,1,,
CHEMBL3935119,464.5,Fc1c(C(=O)N2CCN(C(=O)c3occc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.9,KI,1,,
CHEMBL3957687,529.58002,Fc1c(C(=O)N2CCN(C(=O)c3cc4[nH]cnc4cc3)CCC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.9,KI,1,,
CHEMBL3906980,488.56,Fc1c(C(=O)N2[C@H](C)CN(C(=O)c3ccccc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.9,KI,1,,
CHEMBL3763531,410.51999,O=C1NN=C2C(c3ccc(C)cc3)C(c3ccc(CN(C)C)cc3)Nc3c2c1ccc3,1.95,IC50,1,,
CHEMBL1935274,473.48999,O=C(CCC(=O)c1cc2c3c([nH]c2cc1)c1c(c2C(=O)NC(=O)c32)CCC1)N1[C@H](C(=O)O)CCC1,2,IC50,1,,
CHEMBL524165,464.5,Fc1c(C(=O)N2CCN(C(=O)C3COCC3)CC2)cc(CC2=NNC(=O)c3c2cccc3)cc1,2,IC50,1,,
CHEMBL523058,443.48001,Fc1c(C(=O)N2CCN(c3ncccc3)CC2)cc(CC2=NNC(=O)c3c2cccc3)cc1,2,IC50,1,,
CHEMBL521809,426.48001,O=C(N1CCN(c2ncccn2)CC1)c1cc(CC2=NNC(=O)c3c2cccc3)ccc1,2,IC50,1,,
CHEMBL201616,348.41,O=C(N1CCNCC1)c1cc(CC2=NNC(=O)c3c2cccc3)ccc1,2,IC50,1,,
CHEMBL590791,522.40997,Clc1c(Cl)cc2C(=O)NC=C(Cc3cc(C(=O)N4CCN(C(=O)C(NC)(C)C)CC4)c(F)cc3)n12,2,IC50,1,,
CHEMBL609020,316.31,Fc1c(CNC)ccc(-n2nc3c(C(=O)N)cc(F)cc3c2)c1,2,IC50,1,,
CHEMBL496976,348.45001,O=C(N)c1c2nc(C3(C)CN(CCc4ccccc4)CC3)[nH]c2ccc1,2,EC50,1,,
CHEMBL517843,272.35001,O=C(N)c1c2nc(C(NCC3CC3)(C)C)[nH]c2ccc1,2,EC50,1,,
CHEMBL453059,298.39001,O=C(N)c1c2nc(C3CN(C4CCCC4)CC3)[nH]c2ccc1,2,EC50,1,,
CHEMBL498015,340.47,O=C(N)c1c2nc(C3(C)CCN(C4CCCC4)CCC3)[nH]c2ccc1,2,EC50,1,,
CHEMBL479779,260.34,O=C(N)c1c2nc(C(NC(C)C)(C)C)[nH]c2ccc1,2,EC50,1,,
CHEMBL1089132,356.38,Fc1c(-c2[nH]c3c(c(C(=O)N)cc(F)c3)n2)ccc(C2NCCCC2)c1,2,EC50,1,,
CHEMBL495743,262.29001,Fc1cc(C(=O)N)c2nc([C@]3(C)NCCC3)[nH]c2c1,2,EC50,1,,
CHEMBL521712,258.32001,O=C(N)c1c2nc(C3(C)NCCCC3)[nH]c2ccc1,2,EC50,1,,
CHEMBL3920506,391.45001,Fc1c(-c2cc(N=C(O)C)ccc2)cc(Cc2nnc(O)c3c2CCCC3)cc1,2,KI,1,,
CHEMBL3918368,330.35999,Fc1c(N=C(O)CN)cc(Cc2nnc(O)c3c2CCCC3)cc1,2,KI,1,,
CHEMBL3904375,422.45999,Fc1c(N=C(O)CCOc2ccccc2)cc(Cc2nnc(O)c3c2NCCC3)cc1,2,KI,1,,
CHEMBL3977581,413.45001,Fc1c(C(=O)N2CCC(C(O)=N)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,2,KI,1,,
CHEMBL3910994,484.53,Fc1c(C(=O)N2CCN(C(=O)N3CCOCC3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,2,KI,1,,
CHEMBL3973041,491.53,Fc1c(C(=O)N2CCN(C(=O)c3nccnc3)CCC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,2,KI,1,,
CHEMBL3930456,438.54999,Fc1c(C(=O)N2CCN(C3CCCC3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,2,KI,1,,
CHEMBL3917960,465.5,Fc1c(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,2,KI,1,,
CHEMBL2058930,447.51001,Fc1c(C(=O)N2CCN(c3ncccc3)CC2)cc(CC2=NNC(=O)C3=C2CCCC3)cc1,2,KI,1,,
CHEMBL3948164,469.56,Fc1c(C(=O)N2CCN(C(=O)N(CC)CC)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,2,KI,1,,
CHEMBL3985126,409.45999,Fc1c(N2C(=O)C3C(C2=O)CCCC3)cc(Cc2nnc(O)c3c2CCCC3)cc1,2,KI,1,,
